"transcript_year","state_name","meeting_type","n"
"2010","Oregon","DEVELOPMENT CORPORATION",4
"2010","Oregon","MUNICIPAL COUNCIL",3
"2010","Pennsylvania","MUNICIPAL COUNCIL",38
"2010","South Carolina","MUNICIPAL COUNCIL",4
"2010","South Dakota","MUNICIPAL COUNCIL",1
"2010","Tennessee","MUNICIPAL COUNCIL",2
"2010","Texas","BOARD OF COMMISSIONERS",1
"2010","Texas","MUNICIPAL COUNCIL",31
"2010","Texas","OTHER BOARD",1
"2010","Texas","SCHOOL BOARD",4
"2010","Texas","UNKNOWN",1
"2010","Virginia","MUNICIPAL COUNCIL",1
"2011","Alabama","MUNICIPAL COUNCIL",52
"2011","Arizona","MUNICIPAL COUNCIL",5
"2011","Arkansas","COMMITTEE",5
"2011","Arkansas","MUNICIPAL COUNCIL",5
"2011","Arkansas","OTHER BOARD",5
"2011","Arkansas","PARKS/REC BOARD/COMMISSION",1
"2011","Arkansas","SCHOOL BOARD",1
"2011","California","BOARD OF SUPERVISORS",3
"2011","California","COUNTY BOARD",11
"2011","California","MUNICIPAL COUNCIL",279
"2011","California","OTHER BOARD",1
"2011","California","PARKS/REC BOARD/COMMISSION",1
"2011","California","PLANNING/ZONING BOARD/COMMISSION",1
"2011","California","SCHOOL BOARD",3
"2011","California","UNKNOWN",5
"2011","Colorado","COMMITTEE",1
"2011","Florida","MUNICIPAL COUNCIL",16
"2011","Georgia","MUNICIPAL COUNCIL",10
"2011","Georgia","UNKNOWN",1
"2011","Illinois","COMMITTEE",9
"2011","Illinois","MUNICIPAL COUNCIL",53
"2011","Illinois","PLANNING/ZONING BOARD/COMMISSION",1
"2011","Illinois","SCHOOL BOARD",11
"2011","Illinois","UNKNOWN",1
"2011","Indiana","OTHER BOARD",1
"2011","Maine","MUNICIPAL COUNCIL",1
"2011","Massachusetts","BOARD OF SELECTMEN",13
"2011","Massachusetts","SCHOOL BOARD",9
"2011","Michigan","BOARD OF COMMISSIONERS",3
"2011","Michigan","MUNICIPAL COUNCIL",15
"2011","Michigan","SCHOOL BOARD",3
"2011","Minnesota","MUNICIPAL COUNCIL",14
"2011","Missouri","BOARD OF ALDERMEN",5
"2011","Missouri","COMMITTEE",1
"2011","Missouri","TOWN BOARD",25
"2011","Nebraska","COUNTY COMMISSION",20
"2011","Nebraska","MUNICIPAL COUNCIL",20
"2011","Nevada","MUNICIPAL COUNCIL",2
"2011","Nevada","OTHER BOARD",1
"2011","New Hampshire","COUNTY COMMISSION",1
"2011","New Hampshire","PLANNING/ZONING BOARD/COMMISSION",1
"2011","New Hampshire","UNKNOWN",2
"2011","New Jersey","MUNICIPAL COUNCIL",35
"2011","New York","BOARD OF EDUCATION",3
"2011","New York","BOARD OF TRUSTEES",1
"2011","New York","COMMITTEE",5
"2011","New York","MUNICIPAL COUNCIL",24
"2011","New York","PLANNING/ZONING BOARD/COMMISSION",2
"2011","New York","VILLAGE BOARD",38
"2011","North Carolina","BOARD OF ALDERMEN",1
"2011","North Carolina","BOARD OF COMMISSIONERS",1
"2011","North Carolina","COUNTY BOARD",13
"2011","North Carolina","COUNTY COMMISSION",10
"2011","North Carolina","MUNICIPAL COUNCIL",36
"2011","North Carolina","OTHER BOARD",1
"2011","North Carolina","PLANNING/ZONING BOARD/COMMISSION",16
"2011","Ohio","BOARD OF EDUCATION",5
"2011","Ohio","BOARD OF TRUSTEES",1
"2011","Ohio","MUNICIPAL COUNCIL",36
"2011","Ohio","SCHOOL BOARD",3
"2011","Oklahoma","COUNTY COMMISSION",1
"2011","Oklahoma","MUNICIPAL COUNCIL",7
"2011","Oregon","COMMITTEE",5
"2011","Oregon","MUNICIPAL COUNCIL",48
"2011","Oregon","UNKNOWN",5
"2011","Pennsylvania","MUNICIPAL COUNCIL",11
"2011","South Carolina","MUNICIPAL COUNCIL",9
"2011","Tennessee","MUNICIPAL COUNCIL",22
"2011","Texas","BOARD OF COMMISSIONERS",2
"2011","Texas","BOARD OF HEALTH",3
"2011","Texas","COMMITTEE",1
"2011","Texas","COUNTY COMMISSION",2
"2011","Texas","MUNICIPAL COUNCIL",59
"2011","Texas","OTHER BOARD",8
"2011","Texas","SCHOOL BOARD",9
"2011","Texas","UNKNOWN",1
"2011","Virginia","BOARD OF SUPERVISORS",6
"2011","Virginia","MUNICIPAL COUNCIL",45
"2011","Virginia","SCHOOL BOARD",1
"2011","Washington","MUNICIPAL COUNCIL",3
"2011","West Virginia","MUNICIPAL COUNCIL",2
"2011","Wisconsin","MUNICIPAL COUNCIL",1
"2012","Alabama","COUNTY BOARD",8
"2012","Alabama","COUNTY COMMISSION",5
"2012","Alabama","MUNICIPAL COUNCIL",96
"2012","Alabama","PLANNING/ZONING BOARD/COMMISSION",1
"2012","Arizona","MUNICIPAL COUNCIL",13
"2012","Arkansas","MUNICIPAL COUNCIL",5
"2012","Arkansas","OTHER BOARD",1
"2012","California","BOARD OF HEALTH",1
"2012","California","BOARD OF SUPERVISORS",12
"2012","California","BOARD OF TRUSTEES",2
"2012","California","COUNTY BOARD",12
"2012","California","MUNICIPAL COUNCIL",260
"2012","California","OTHER BOARD",6
"2012","California","PLANNING/ZONING BOARD/COMMISSION",4
"2012","California","SCHOOL BOARD",3
"2012","California","UNKNOWN",2
"2012","Colorado","MUNICIPAL COUNCIL",42
"2012","Florida","MUNICIPAL COUNCIL",15
"2012","Georgia","BOARD OF EDUCATION",1
"2012","Georgia","COUNTY COMMISSION",2
"2012","Georgia","MUNICIPAL COUNCIL",20
"2012","Illinois","BOARD OF COMMISSIONERS",9
"2012","Illinois","BOARD OF EDUCATION",1
"2012","Illinois","COMMITTEE",34
"2012","Illinois","MUNICIPAL COUNCIL",46
"2012","Illinois","OTHER BOARD",2
"2012","Illinois","PLANNING/ZONING BOARD/COMMISSION",9
"2012","Illinois","SCHOOL BOARD",2
"2012","Illinois","TOWN BOARD",3
"2012","Illinois","VILLAGE BOARD",20
"2012","Kentucky","SCHOOL BOARD",1
"2012","Massachusetts","BOARD OF SELECTMEN",4
"2012","Massachusetts","COMMITTEE",5
"2012","Massachusetts","MUNICIPAL COUNCIL",2
"2012","Massachusetts","PLANNING/ZONING BOARD/COMMISSION",1
"2012","Massachusetts","SCHOOL BOARD",1
"2012","Michigan","BOARD OF COMMISSIONERS",1
"2012","Michigan","BOARD OF EDUCATION",3
"2012","Michigan","BOARD OF TRUSTEES",2
"2012","Michigan","COUNTY BOARD",10
"2012","Michigan","MUNICIPAL COUNCIL",49
"2012","Michigan","SCHOOL BOARD",3
"2012","Michigan","UNKNOWN",2
"2012","Minnesota","COUNTY BOARD",1
"2012","Minnesota","MUNICIPAL COUNCIL",24
"2012","Missouri","BOARD OF ALDERMEN",2
"2012","Missouri","COMMITTEE",1
"2012","Missouri","MUNICIPAL COUNCIL",65
"2012","Missouri","TOWN BOARD",2
"2012","Missouri","UNKNOWN",1
"2012","Montana","MUNICIPAL COUNCIL",4
"2012","Nebraska","COUNTY COMMISSION",12
"2012","Nebraska","MUNICIPAL COUNCIL",25
"2012","Nevada","MUNICIPAL COUNCIL",7
"2012","New Hampshire","COUNTY COMMISSION",1
"2012","New Jersey","BOARD OF COMMISSIONERS",4
"2012","New Jersey","COMMITTEE",14
"2012","New Jersey","COUNTY BOARD",1
"2012","New Jersey","MUNICIPAL COUNCIL",31
"2012","New Jersey","OTHER BOARD",2
"2012","New Jersey","PLANNING/ZONING BOARD/COMMISSION",4
"2012","New Jersey","UNKNOWN",5
"2012","New York","BOARD OF EDUCATION",17
"2012","New York","MUNICIPAL COUNCIL",13
"2012","New York","OTHER BOARD",1
"2012","New York","SCHOOL BOARD",1
"2012","New York","TOWN BOARD",5
"2012","New York","UNKNOWN",1
"2012","New York","VILLAGE BOARD",15
"2012","North Carolina","BOARD OF ALDERMEN",3
"2012","North Carolina","BOARD OF COMMISSIONERS",17
"2012","North Carolina","BOARD OF EDUCATION",5
"2012","North Carolina","BOARD OF HEALTH",1
"2012","North Carolina","COUNTY BOARD",27
"2012","North Carolina","COUNTY COMMISSION",3
"2012","North Carolina","MUNICIPAL COUNCIL",25
"2012","North Carolina","OTHER BOARD",17
"2012","North Carolina","PLANNING/ZONING BOARD/COMMISSION",15
"2012","Ohio","BOARD OF EDUCATION",5
"2012","Ohio","BOARD OF HEALTH",1
"2012","Ohio","BOARD OF TRUSTEES",15
"2012","Ohio","COMMITTEE",23
"2012","Ohio","COUNTY COMMISSION",1
"2012","Ohio","MUNICIPAL COUNCIL",62
"2012","Ohio","SCHOOL BOARD",6
"2012","Ohio","TOWN BOARD",12
"2012","Ohio","UNKNOWN",2
"2012","Oklahoma","COUNTY COMMISSION",1
"2012","Oklahoma","MUNICIPAL COUNCIL",41
"2012","Oklahoma","SCHOOL BOARD",2
"2012","Oregon","COMMITTEE",2
"2012","Oregon","DEVELOPMENT CORPORATION",6
"2012","Oregon","MUNICIPAL COUNCIL",74
"2012","Oregon","OTHER BOARD",2
"2012","Pennsylvania","BOARD OF COMMISSIONERS",2
"2012","Pennsylvania","BOARD OF EDUCATION",21
"2012","Pennsylvania","COUNTY COMMISSION",1
"2012","Pennsylvania","HOUSING AUTHORITY",1
"2012","Pennsylvania","MUNICIPAL COUNCIL",53
"2012","Pennsylvania","OTHER BOARD",1
"2012","Pennsylvania","PLANNING/ZONING BOARD/COMMISSION",2
"2012","South Carolina","MUNICIPAL COUNCIL",5
"2012","South Dakota","COUNTY BOARD",5
"2012","South Dakota","MUNICIPAL COUNCIL",46
"2012","South Dakota","PLANNING/ZONING BOARD/COMMISSION",4
"2012","Tennessee","COMMITTEE",26
"2012","Tennessee","COUNTY BOARD",4
"2012","Tennessee","COUNTY COMMISSION",1
"2012","Tennessee","MUNICIPAL COUNCIL",29
"2012","Tennessee","PLANNING/ZONING BOARD/COMMISSION",3
"2012","Tennessee","SCHOOL BOARD",1
"2012","Texas","BOARD OF COMMISSIONERS",1
"2012","Texas","BOARD OF HEALTH",1
"2012","Texas","BOARD OF TRUSTEES",1
"2012","Texas","COMMITTEE",1
"2012","Texas","COUNTY COMMISSION",7
"2012","Texas","MUNICIPAL COUNCIL",79
"2012","Texas","OTHER BOARD",1
"2012","Texas","PLANNING/ZONING BOARD/COMMISSION",2
"2012","Texas","SCHOOL BOARD",2
"2012","Texas","UNKNOWN",2
"2012","Utah","MUNICIPAL COUNCIL",31
"2012","Virginia","BOARD OF SUPERVISORS",1
"2012","Virginia","COUNTY BOARD",8
"2012","Virginia","MUNICIPAL COUNCIL",36
"2012","Virginia","SCHOOL BOARD",7
"2012","Washington","MUNICIPAL COUNCIL",71
"2012","West Virginia","MUNICIPAL COUNCIL",10
"2012","Wisconsin","MUNICIPAL COUNCIL",8
"2013","Alabama","BOARD OF EDUCATION",3
"2013","Alabama","COMMITTEE",1
"2013","Alabama","COUNTY BOARD",9
"2013","Alabama","COUNTY COMMISSION",26
"2013","Alabama","MUNICIPAL COUNCIL",141
"2013","Alabama","OTHER BOARD",9
"2013","Alabama","PLANNING/ZONING BOARD/COMMISSION",4
"2013","Alabama","UNKNOWN",1
"2013","Arizona","MUNICIPAL COUNCIL",8
"2013","Arkansas","MUNICIPAL COUNCIL",5
"2013","California","BOARD OF COMMISSIONERS",1
"2013","California","BOARD OF HEALTH",1
"2013","California","BOARD OF SUPERVISORS",19
"2013","California","COMMITTEE",11
"2013","California","COUNTY BOARD",41
"2013","California","MUNICIPAL COUNCIL",338
"2013","California","OTHER BOARD",3
"2013","California","PARKS/REC BOARD/COMMISSION",2
"2013","California","PLANNING/ZONING BOARD/COMMISSION",3
"2013","California","SCHOOL BOARD",25
"2013","California","UNKNOWN",36
"2013","Colorado","BOARD OF EDUCATION",1
"2013","Colorado","COUNTY COMMISSION",1
"2013","Colorado","MUNICIPAL COUNCIL",11
"2013","Florida","MUNICIPAL COUNCIL",19
"2013","Georgia","BOARD OF EDUCATION",6
"2013","Georgia","COUNTY BOARD",1
"2013","Georgia","MUNICIPAL COUNCIL",20
"2013","Georgia","PLANNING/ZONING BOARD/COMMISSION",1
"2013","Illinois","BOARD OF COMMISSIONERS",1
"2013","Illinois","BOARD OF EDUCATION",19
"2013","Illinois","BOARD OF TRUSTEES",1
"2013","Illinois","COMMITTEE",46
"2013","Illinois","MUNICIPAL COUNCIL",74
"2013","Illinois","PLANNING/ZONING BOARD/COMMISSION",15
"2013","Illinois","SCHOOL BOARD",2
"2013","Illinois","TOWN BOARD",4
"2013","Illinois","UNKNOWN",2
"2013","Illinois","VILLAGE BOARD",74
"2013","Indiana","MUNICIPAL COUNCIL",2
"2013","Indiana","SCHOOL BOARD",2
"2013","Iowa","MUNICIPAL COUNCIL",39
"2013","Kentucky","MUNICIPAL COUNCIL",7
"2013","Maine","MUNICIPAL COUNCIL",1
"2013","Massachusetts","BOARD OF HEALTH",1
"2013","Massachusetts","BOARD OF SELECTMEN",22
"2013","Massachusetts","COMMITTEE",11
"2013","Massachusetts","PLANNING/ZONING BOARD/COMMISSION",19
"2013","Massachusetts","SCHOOL BOARD",2
"2013","Michigan","BOARD OF COMMISSIONERS",1
"2013","Michigan","BOARD OF EDUCATION",4
"2013","Michigan","BOARD OF TRUSTEES",8
"2013","Michigan","COUNTY BOARD",16
"2013","Michigan","MUNICIPAL COUNCIL",104
"2013","Michigan","PLANNING/ZONING BOARD/COMMISSION",3
"2013","Michigan","SCHOOL BOARD",6
"2013","Michigan","UNKNOWN",1
"2013","Michigan","VILLAGE BOARD",1
"2013","Minnesota","COMMITTEE",1
"2013","Minnesota","MUNICIPAL COUNCIL",50
"2013","Minnesota","SCHOOL BOARD",5
"2013","Minnesota","UNKNOWN",2
"2013","Mississippi","BOARD OF ALDERMEN",2
"2013","Missouri","BOARD OF ALDERMEN",9
"2013","Missouri","MUNICIPAL COUNCIL",91
"2013","Missouri","PLANNING/ZONING BOARD/COMMISSION",1
"2013","Missouri","TOWN BOARD",3
"2013","Montana","BOARD OF EDUCATION",1
"2013","Montana","MUNICIPAL COUNCIL",4
"2013","Montana","UNKNOWN",2
"2013","Nebraska","COUNTY COMMISSION",14
"2013","Nebraska","MUNICIPAL COUNCIL",41
"2013","Nevada","MUNICIPAL COUNCIL",8
"2013","New Hampshire","BOARD OF SELECTMEN",1
"2013","New Hampshire","COUNTY COMMISSION",1
"2013","New Hampshire","MUNICIPAL COUNCIL",1
"2013","New Hampshire","PLANNING/ZONING BOARD/COMMISSION",2
"2013","New Hampshire","SCHOOL BOARD",1
"2013","New Hampshire","UNKNOWN",2
"2013","New Jersey","BOARD OF COMMISSIONERS",2
"2013","New Jersey","BOARD OF EDUCATION",1
"2013","New Jersey","BOARD OF HEALTH",2
"2013","New Jersey","COMMITTEE",19
"2013","New Jersey","MUNICIPAL COUNCIL",49
"2013","New Jersey","OTHER BOARD",5
"2013","New Jersey","PLANNING/ZONING BOARD/COMMISSION",11
"2013","New Jersey","UNKNOWN",2
"2013","New Mexico","MUNICIPAL COUNCIL",4
"2013","New York","BOARD OF EDUCATION",14
"2013","New York","COMMITTEE",2
"2013","New York","MUNICIPAL COUNCIL",32
"2013","New York","OTHER BOARD",10
"2013","New York","PLANNING/ZONING BOARD/COMMISSION",1
"2013","New York","SCHOOL BOARD",1
"2013","New York","TOWN BOARD",23
"2013","New York","UNKNOWN",1
"2013","New York","VILLAGE BOARD",25
"2013","North Carolina","BOARD OF ALDERMEN",2
"2013","North Carolina","BOARD OF COMMISSIONERS",16
"2013","North Carolina","BOARD OF EDUCATION",2
"2013","North Carolina","BOARD OF HEALTH",1
"2013","North Carolina","COMMITTEE",1
"2013","North Carolina","COUNTY BOARD",26
"2013","North Carolina","COUNTY COMMISSION",46
"2013","North Carolina","MUNICIPAL COUNCIL",57
"2013","North Carolina","OTHER BOARD",16
"2013","North Carolina","PLANNING/ZONING BOARD/COMMISSION",13
"2013","North Carolina","SCHOOL BOARD",1
"2013","North Carolina","UNKNOWN",2
"2013","Ohio","BOARD OF EDUCATION",15
"2013","Ohio","BOARD OF SELECTMEN",1
"2013","Ohio","BOARD OF TRUSTEES",9
"2013","Ohio","COMMITTEE",20
"2013","Ohio","COUNTY COMMISSION",1
"2013","Ohio","MUNICIPAL COUNCIL",130
"2013","Ohio","PLANNING/ZONING BOARD/COMMISSION",1
"2013","Ohio","SCHOOL BOARD",2
"2013","Ohio","TOWN BOARD",3
"2013","Ohio","UNKNOWN",2
"2013","Ohio","VILLAGE BOARD",1
"2013","Oklahoma","COUNTY COMMISSION",5
"2013","Oklahoma","MUNICIPAL COUNCIL",82
"2013","Oklahoma","OTHER BOARD",10
"2013","Oklahoma","SCHOOL BOARD",2
"2013","Oregon","COMMITTEE",3
"2013","Oregon","DEVELOPMENT CORPORATION",1
"2013","Oregon","MUNICIPAL COUNCIL",77
"2013","Oregon","OTHER BOARD",7
"2013","Oregon","SCHOOL BOARD",3
"2013","Pennsylvania","BOARD OF EDUCATION",7
"2013","Pennsylvania","MUNICIPAL COUNCIL",41
"2013","Pennsylvania","OTHER BOARD",1
"2013","Pennsylvania","PLANNING/ZONING BOARD/COMMISSION",1
"2013","Pennsylvania","SCHOOL BOARD",1
"2013","Pennsylvania","UNKNOWN",1
"2013","Rhode Island","MUNICIPAL COUNCIL",2
"2013","South Carolina","MUNICIPAL COUNCIL",13
"2013","South Dakota","COUNTY BOARD",5
"2013","South Dakota","MUNICIPAL COUNCIL",204
"2013","South Dakota","PLANNING/ZONING BOARD/COMMISSION",14
"2013","Tennessee","COMMITTEE",65
"2013","Tennessee","COUNTY BOARD",9
"2013","Tennessee","COUNTY COMMISSION",5
"2013","Tennessee","MUNICIPAL COUNCIL",84
"2013","Tennessee","OTHER BOARD",1
"2013","Tennessee","PARKS/REC BOARD/COMMISSION",1
"2013","Tennessee","PLANNING/ZONING BOARD/COMMISSION",9
"2013","Tennessee","SCHOOL BOARD",8
"2013","Texas","BOARD OF COMMISSIONERS",1
"2013","Texas","COMMITTEE",6
"2013","Texas","COUNTY COMMISSION",4
"2013","Texas","MUNICIPAL COUNCIL",95
"2013","Texas","OTHER BOARD",3
"2013","Texas","PLANNING/ZONING BOARD/COMMISSION",3
"2013","Texas","SCHOOL BOARD",2
"2013","Texas","UNKNOWN",5
"2013","Utah","MUNICIPAL COUNCIL",40
"2013","Vermont","SCHOOL BOARD",9
"2013","Virginia","BOARD OF SUPERVISORS",8
"2013","Virginia","COUNTY BOARD",15
"2013","Virginia","MUNICIPAL COUNCIL",40
"2013","Virginia","SCHOOL BOARD",19
"2013","Washington","MUNICIPAL COUNCIL",86
"2013","West Virginia","MUNICIPAL COUNCIL",5
"2013","Wisconsin","BOARD OF EDUCATION",4
"2013","Wisconsin","COMMITTEE",1
"2013","Wisconsin","COUNTY BOARD",4
"2013","Wisconsin","MUNICIPAL COUNCIL",38
"2013","Wisconsin","SCHOOL BOARD",3
"2013","Wisconsin","TOWN BOARD",1
"2013","Wyoming","MUNICIPAL COUNCIL",3
"2014","Alabama","BOARD OF COMMISSIONERS",1
"2014","Alabama","BOARD OF EDUCATION",2
"2014","Alabama","BOARD OF HEALTH",1
"2014","Alabama","COMMITTEE",11
"2014","Alabama","COUNTY BOARD",10
"2014","Alabama","COUNTY COMMISSION",25
"2014","Alabama","MUNICIPAL COUNCIL",114
"2014","Alabama","OTHER BOARD",3
"2014","Alabama","PARKS/REC BOARD/COMMISSION",1
"2014","Arizona","COMMITTEE",1
"2014","Arizona","MUNICIPAL COUNCIL",19
"2014","Arizona","SCHOOL BOARD",1
"2014","Arkansas","MUNICIPAL COUNCIL",10
"2014","California","BOARD OF COMMISSIONERS",3
"2014","California","BOARD OF EDUCATION",1
"2014","California","BOARD OF SUPERVISORS",76
"2014","California","COMMITTEE",20
"2014","California","COUNTY BOARD",97
"2014","California","COUNTY COMMISSION",3
"2014","California","MUNICIPAL COUNCIL",670
"2014","California","OTHER BOARD",7
"2014","California","PARKS/REC BOARD/COMMISSION",1
"2014","California","PLANNING/ZONING BOARD/COMMISSION",5
"2014","California","SCHOOL BOARD",30
"2014","California","UNKNOWN",8
"2014","Colorado","COMMITTEE",1
"2014","Colorado","MUNICIPAL COUNCIL",26
"2014","Florida","MUNICIPAL COUNCIL",13
"2014","Georgia","BOARD OF EDUCATION",8
"2014","Georgia","COUNTY BOARD",2
"2014","Georgia","MUNICIPAL COUNCIL",13
"2014","Idaho","MUNICIPAL COUNCIL",7
"2014","Illinois","BOARD OF COMMISSIONERS",2
"2014","Illinois","BOARD OF EDUCATION",27
"2014","Illinois","BOARD OF TRUSTEES",1
"2014","Illinois","COMMITTEE",46
"2014","Illinois","MUNICIPAL COUNCIL",54
"2014","Illinois","PLANNING/ZONING BOARD/COMMISSION",7
"2014","Illinois","TOWN BOARD",8
"2014","Illinois","UNKNOWN",5
"2014","Illinois","VILLAGE BOARD",79
"2014","Indiana","MUNICIPAL COUNCIL",11
"2014","Indiana","SCHOOL BOARD",2
"2014","Iowa","MUNICIPAL COUNCIL",15
"2014","Iowa","OTHER BOARD",1
"2014","Kansas","MUNICIPAL COUNCIL",8
"2014","Kentucky","MUNICIPAL COUNCIL",13
"2014","Louisiana","SCHOOL BOARD",1
"2014","Maine","MUNICIPAL COUNCIL",1
"2014","Maine","SCHOOL BOARD",1
"2014","Maryland","BOARD OF COMMISSIONERS",1
"2014","Massachusetts","BOARD OF COMMISSIONERS",1
"2014","Massachusetts","BOARD OF SELECTMEN",23
"2014","Massachusetts","COMMITTEE",6
"2014","Massachusetts","PLANNING/ZONING BOARD/COMMISSION",10
"2014","Michigan","BOARD OF EDUCATION",1
"2014","Michigan","BOARD OF TRUSTEES",5
"2014","Michigan","COUNTY BOARD",13
"2014","Michigan","COUNTY COMMISSION",1
"2014","Michigan","MUNICIPAL COUNCIL",131
"2014","Michigan","OTHER BOARD",4
"2014","Michigan","PLANNING/ZONING BOARD/COMMISSION",8
"2014","Michigan","SCHOOL BOARD",11
"2014","Michigan","UNKNOWN",5
"2014","Minnesota","BOARD OF HEALTH",1
"2014","Minnesota","COMMITTEE",72
"2014","Minnesota","MUNICIPAL COUNCIL",69
"2014","Minnesota","OTHER BOARD",5
"2014","Minnesota","SCHOOL BOARD",2
"2014","Mississippi","BOARD OF ALDERMEN",13
"2014","Missouri","BOARD OF ALDERMEN",19
"2014","Missouri","BOARD OF HEALTH",4
"2014","Missouri","COMMITTEE",2
"2014","Missouri","MUNICIPAL COUNCIL",78
"2014","Missouri","OTHER BOARD",5
"2014","Missouri","PLANNING/ZONING BOARD/COMMISSION",1
"2014","Missouri","UNKNOWN",1
"2014","Montana","BOARD OF HEALTH",1
"2014","Montana","PLANNING/ZONING BOARD/COMMISSION",1
"2014","Montana","SCHOOL BOARD",1
"2014","Nebraska","COMMITTEE",1
"2014","Nebraska","COUNTY COMMISSION",11
"2014","Nebraska","MUNICIPAL COUNCIL",49
"2014","Nebraska","OTHER BOARD",3
"2014","Nebraska","TOWN BOARD",2
"2014","Nevada","MUNICIPAL COUNCIL",1
"2014","New Hampshire","BOARD OF SELECTMEN",4
"2014","New Hampshire","COMMITTEE",3
"2014","New Hampshire","MUNICIPAL COUNCIL",1
"2014","New Hampshire","PLANNING/ZONING BOARD/COMMISSION",3
"2014","New Hampshire","SCHOOL BOARD",6
"2014","New Jersey","BOARD OF COMMISSIONERS",1
"2014","New Jersey","COMMITTEE",26
"2014","New Jersey","MUNICIPAL COUNCIL",63
"2014","New Jersey","OTHER BOARD",2
"2014","New Jersey","PLANNING/ZONING BOARD/COMMISSION",6
"2014","New Jersey","SCHOOL BOARD",1
"2014","New Jersey","UNKNOWN",1
"2014","New Mexico","COUNTY BOARD",3
"2014","New Mexico","COUNTY COMMISSION",9
"2014","New Mexico","MUNICIPAL COUNCIL",18
"2014","New Mexico","PLANNING/ZONING BOARD/COMMISSION",3
"2014","New York","BOARD OF EDUCATION",9
"2014","New York","MUNICIPAL COUNCIL",23
"2014","New York","OTHER BOARD",6
"2014","New York","PARKS/REC BOARD/COMMISSION",4
"2014","New York","PLANNING/ZONING BOARD/COMMISSION",4
"2014","New York","SCHOOL BOARD",5
"2014","New York","TOWN BOARD",18
"2014","New York","VILLAGE BOARD",20
"2014","North Carolina","BOARD OF ALDERMEN",6
"2014","North Carolina","BOARD OF COMMISSIONERS",5
"2014","North Carolina","BOARD OF EDUCATION",7
"2014","North Carolina","COMMITTEE",1
"2014","North Carolina","COUNTY BOARD",21
"2014","North Carolina","COUNTY COMMISSION",15
"2014","North Carolina","MUNICIPAL COUNCIL",34
"2014","North Carolina","OTHER BOARD",6
"2014","North Carolina","PLANNING/ZONING BOARD/COMMISSION",12
"2014","North Carolina","SCHOOL BOARD",14
"2014","Ohio","BOARD OF EDUCATION",14
"2014","Ohio","BOARD OF TRUSTEES",16
"2014","Ohio","COMMITTEE",7
"2014","Ohio","COUNTY COMMISSION",4
"2014","Ohio","MUNICIPAL COUNCIL",194
"2014","Ohio","OTHER BOARD",6
"2014","Ohio","PLANNING/ZONING BOARD/COMMISSION",2
"2014","Ohio","SCHOOL BOARD",7
"2014","Ohio","TOWN BOARD",3
"2014","Oklahoma","COUNTY COMMISSION",2
"2014","Oklahoma","MUNICIPAL COUNCIL",56
"2014","Oklahoma","OTHER BOARD",4
"2014","Oklahoma","SCHOOL BOARD",2
"2014","Oregon","COMMITTEE",4
"2014","Oregon","COUNTY COMMISSION",1
"2014","Oregon","DEVELOPMENT CORPORATION",2
"2014","Oregon","MUNICIPAL COUNCIL",119
"2014","Oregon","OTHER BOARD",6
"2014","Oregon","SCHOOL BOARD",15
"2014","Oregon","UNKNOWN",1
"2014","Pennsylvania","BOARD OF EDUCATION",1
